"المعرّف","السورة والآية","الوحدة","الدرس","البطاقة","الصفحة","النصّ في البرنامج","المقارنة الحرفية","خلاف المصدرين","حالة المراجعة","قرار المقابلة البصرية","الملاحظة","وقت القرار"
"u1l2/c1","الفاتحة: ١","u1","u1l2","c1","7","﴿بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T02:56:54.336Z"
"u1l3/c1","سورة الفاتحة: ١-٧","u1","u1l3","c1","8","بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ ﴿١﴾ ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ ﴿٢﴾ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ ﴿٣﴾ مَـٰلِكِ يَوْمِ ٱلدِّينِ ﴿٤﴾ إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ ﴿٥﴾ ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ ﴿٦﴾ صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ ﴿٧﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T02:57:57.544Z"
"u1l4/c1","البقرة: ٢٥٥","u1","u1l4","c1","10","ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ ۚ لَا تَأْخُذُهُۥ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَمَا فِى ٱلْأَرْضِ ۗ مَن ذَا ٱلَّذِى يَشْفَعُ عِندَهُۥٓ إِلَّا بِإِذْنِهِۦ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَىْءٍ مِّنْ عِلْمِهِۦٓ إِلَّا بِمَا شَآءَ ۚ وَسِعَ كُرْسِيُّهُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ ۖ وَلَا يَـُٔودُهُۥ حِفْظُهُمَا ۚ وَهُوَ ٱلْعَلِىُّ ٱلْعَظِيمُ ﴿٢٥٥﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T02:58:33.703Z"
"u1l5/c1","البقرة: ٢٨٥","u1","u1l5","c1","11","ءَامَنَ ٱلرَّسُولُ بِمَآ أُنزِلَ إِلَيْهِ مِن رَّبِّهِۦ وَٱلْمُؤْمِنُونَ ۚ كُلٌّ ءَامَنَ بِٱللَّهِ وَمَلَـٰٓئِكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ لَا نُفَرِّقُ بَيْنَ أَحَدٍ مِّن رُّسُلِهِۦ ۚ وَقَالُوا۟ سَمِعْنَا وَأَطَعْنَا ۖ غُفْرَانَكَ رَبَّنَا وَإِلَيْكَ ٱلْمَصِيرُ ﴿٢٨٥﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T02:59:27.042Z"
"u1l5/c2","البقرة: ٢٨٦","u1","u1l5","c2","11","لَا يُكَلِّفُ ٱللَّهُ نَفْسًا إِلَّا وُسْعَهَا ۚ لَهَا مَا كَسَبَتْ وَعَلَيْهَا مَا ٱكْتَسَبَتْ ۗ رَبَّنَا لَا تُؤَاخِذْنَآ إِن نَّسِينَآ أَوْ أَخْطَأْنَا ۚ رَبَّنَا وَلَا تَحْمِلْ عَلَيْنَآ إِصْرًا كَمَا حَمَلْتَهُۥ عَلَى ٱلَّذِينَ مِن قَبْلِنَا ۚ رَبَّنَا وَلَا تُحَمِّلْنَا مَا لَا طَاقَةَ لَنَا بِهِۦ ۖ وَٱعْفُ عَنَّا وَٱغْفِرْ لَنَا وَٱرْحَمْنَآ ۚ أَنتَ مَوْلَىٰنَا فَٱنصُرْنَا عَلَى ٱلْقَوْمِ ٱلْكَـٰفِرِينَ ﴿٢٨٦﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T02:59:49.612Z"
"u1l6/c1","سورة الكافرون","u1","u1l6","c1","12","قُلْ يَـٰٓأَيُّهَا ٱلْكَـٰفِرُونَ ﴿١﴾ لَآ أَعْبُدُ مَا تَعْبُدُونَ ﴿٢﴾ وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ ﴿٣﴾ وَلَآ أَنَا۠ عَابِدٌ مَّا عَبَدتُّمْ ﴿٤﴾ وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ ﴿٥﴾ لَكُمْ دِينُكُمْ وَلِىَ دِينِ ﴿٦﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون / صورة ترميز السكون / صورة ترميز السكون / تشكيل أو علامة وقف / صورة ترميز السكون / صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:00:48.410Z"
"u1l7/c1","سورة الإخلاص","u1","u1l7","c1","13","قُلْ هُوَ ٱللَّهُ أَحَدٌ ﴿١﴾ ٱللَّهُ ٱلصَّمَدُ ﴿٢﴾ لَمْ يَلِدْ وَلَمْ يُولَدْ ﴿٣﴾ وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ ﴿٤﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون / متطابقان / صورة ترميز السكون / تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:00:56.186Z"
"u1l8/c1","سورة الفلق","u1","u1l8","c1","13","قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ ﴿١﴾ مِن شَرِّ مَا خَلَقَ ﴿٢﴾ وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ ﴿٣﴾ وَمِن شَرِّ ٱلنَّفَّـٰثَـٰتِ فِى ٱلْعُقَدِ ﴿٤﴾ وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ ﴿٥﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون / متطابقان / متطابقان / صورة الياء الأخيرة (ي/ى) / متطابقان","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:01:14.715Z"
"u1l9/c1","سورة الناس","u1","u1l9","c1","14","قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ ﴿١﴾ مَلِكِ ٱلنَّاسِ ﴿٢﴾ إِلَـٰهِ ٱلنَّاسِ ﴿٣﴾ مِن شَرِّ ٱلْوَسْوَاسِ ٱلْخَنَّاسِ ﴿٤﴾ ٱلَّذِى يُوَسْوِسُ فِى صُدُورِ ٱلنَّاسِ ﴿٥﴾ مِنَ ٱلْجِنَّةِ وَٱلنَّاسِ ﴿٦﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون / متطابقان / تطويل فقط / صورة ترميز السكون / صورة الياء الأخيرة (ي/ى) / صورة ترميز السكون","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:01:26.537Z"
"u6l1/c1","التوبة: ١١٩","u6","u6l1","c1","59","﴿يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱتَّقُوا۟ ٱللَّهَ وَكُونُوا۟ مَعَ ٱلصَّـٰدِقِينَ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:01:38.373Z"
