#,الوحدة/الدرس/البطاقة,اسم السورة,الآية أو النطاق,نصّ البرنامج,صفحة الكتاب,صورة الصفحة,النصّ المرجعي,مصدر المرجع,نتيجة المطابقة,المقارنة الخام (أساسي),المقارنة الخام (شاهد),الفروق الحرفية,حالة التشكيل,حالة علامات الوقف,حالة رقم الآية,مواضع الظهور,الملاحظات,التوصية
١,u1 / u1l2 / c1,الفاتحة: ١,١,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,٧,pages/book-p007.png,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),لا أرقام آيات في البطاقة (نصّ آية واحدة),u1/lessons[1]/cards[0]/text · u1/u1l2/cards/c1 · u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,١,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,٨,pages/book-p008.png,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٢,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,٨,pages/book-p008.png,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٣,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,٨,pages/book-p008.png,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ١,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٤,مَـٰلِكِ يَوْمِ ٱلدِّينِ,٨,pages/book-p008.png,مَٰلِكِ يَوۡمِ ٱلدِّينِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٥,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,٨,pages/book-p008.png,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٦,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,٨,pages/book-p008.png,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٢,u1 / u1l3 / c1,سورة الفاتحة: ١-٧,٧,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,٨,pages/book-p008.png,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٩,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦، ٧,u1/u1l3/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٣,u1 / u1l4 / c1,البقرة: ٢٥٥,٢٥٥,ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ ۚ لَا تَأْخُذُهُۥ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَمَا فِى ٱلْأَرْضِ ۗ مَن ذَا ٱلَّذِى يَشْفَعُ عِندَهُۥٓ إِلَّا بِإِذْنِهِۦ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَىْءٍ مِّنْ عِلْمِهِۦٓ إِلَّا بِمَا شَآءَ ۚ وَسِعَ كُرْسِيُّهُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ ۖ وَلَا يَـُٔودُهُۥ حِفْظُهُمَا ۚ وَهُوَ ٱلْعَلِىُّ ٱلْعَظِيمُ,١٠,pages/book-p010.png,ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَ ٱلۡحَيُّ ٱلۡقَيُّومُۚ لَا تَأۡخُذُهُۥ سِنَةٞ وَلَا نَوۡمٞۚ لَّهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِۗ مَن ذَا ٱلَّذِي يَشۡفَعُ عِندَهُۥٓ إِلَّا بِإِذۡنِهِۦۚ يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ وَلَا يُحِيطُونَ بِشَيۡءٖ مِّنۡ عِلۡمِهِۦٓ إِلَّا بِمَا شَآءَۚ وَسِعَ كُرۡسِيُّهُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَۖ وَلَا يَـُٔودُهُۥ حِفۡظُهُمَاۚ وَهُوَ ٱلۡعَلِيُّ ٱلۡعَظِيمُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣١,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (٨),مذكورة ومطابقة للنطاق: ٢٥٥,u1/u1l4/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٤,u1 / u1l5 / c1,البقرة: ٢٨٥,٢٨٥,ءَامَنَ ٱلرَّسُولُ بِمَآ أُنزِلَ إِلَيْهِ مِن رَّبِّهِۦ وَٱلْمُؤْمِنُونَ ۚ كُلٌّ ءَامَنَ بِٱللَّهِ وَمَلَـٰٓئِكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ لَا نُفَرِّقُ بَيْنَ أَحَدٍ مِّن رُّسُلِهِۦ ۚ وَقَالُوا۟ سَمِعْنَا وَأَطَعْنَا ۖ غُفْرَانَكَ رَبَّنَا وَإِلَيْكَ ٱلْمَصِيرُ,١١,pages/book-p011.png,ءَامَنَ ٱلرَّسُولُ بِمَآ أُنزِلَ إِلَيۡهِ مِن رَّبِّهِۦ وَٱلۡمُؤۡمِنُونَۚ كُلٌّ ءَامَنَ بِٱللَّهِ وَمَلَـٰٓئِكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ لَا نُفَرِّقُ بَيۡنَ أَحَدٖ مِّن رُّسُلِهِۦۚ وَقَالُواْ سَمِعۡنَا وَأَطَعۡنَاۖ غُفۡرَانَكَ رَبَّنَا وَإِلَيۡكَ ٱلۡمَصِيرُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ١٥,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (٣),مذكورة ومطابقة للنطاق: ٢٨٥,u1/u1l5/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٥,u1 / u1l5 / c2,البقرة: ٢٨٦,٢٨٦,لَا يُكَلِّفُ ٱللَّهُ نَفْسًا إِلَّا وُسْعَهَا ۚ لَهَا مَا كَسَبَتْ وَعَلَيْهَا مَا ٱكْتَسَبَتْ ۗ رَبَّنَا لَا تُؤَاخِذْنَآ إِن نَّسِينَآ أَوْ أَخْطَأْنَا ۚ رَبَّنَا وَلَا تَحْمِلْ عَلَيْنَآ إِصْرًا كَمَا حَمَلْتَهُۥ عَلَى ٱلَّذِينَ مِن قَبْلِنَا ۚ رَبَّنَا وَلَا تُحَمِّلْنَا مَا لَا طَاقَةَ لَنَا بِهِۦ ۖ وَٱعْفُ عَنَّا وَٱغْفِرْ لَنَا وَٱرْحَمْنَآ ۚ أَنتَ مَوْلَىٰنَا فَٱنصُرْنَا عَلَى ٱلْقَوْمِ ٱلْكَـٰفِرِينَ,١١,pages/book-p011.png,لَا يُكَلِّفُ ٱللَّهُ نَفۡسًا إِلَّا وُسۡعَهَاۚ لَهَا مَا كَسَبَتۡ وَعَلَيۡهَا مَا ٱكۡتَسَبَتۡۗ رَبَّنَا لَا تُؤَاخِذۡنَآ إِن نَّسِينَآ أَوۡ أَخۡطَأۡنَاۚ رَبَّنَا وَلَا تَحۡمِلۡ عَلَيۡنَآ إِصۡرٗا كَمَا حَمَلۡتَهُۥ عَلَى ٱلَّذِينَ مِن قَبۡلِنَاۚ رَبَّنَا وَلَا تُحَمِّلۡنَا مَا لَا طَاقَةَ لَنَا بِهِۦۖ وَٱعۡفُ عَنَّا وَٱغۡفِرۡ لَنَا وَٱرۡحَمۡنَآۚ أَنتَ مَوۡلَىٰنَا فَٱنصُرۡنَا عَلَى ٱلۡقَوۡمِ ٱلۡكَٰفِرِينَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢٦,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (٦),مذكورة ومطابقة للنطاق: ٢٨٦,u1/u1l5/cards/c2,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,١,قُلْ يَـٰٓأَيُّهَا ٱلْكَـٰفِرُونَ,١٢,pages/book-p012.png,قُلۡ يَـٰٓأَيُّهَا ٱلۡكَٰفِرُونَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,٢,لَآ أَعْبُدُ مَا تَعْبُدُونَ,١٢,pages/book-p012.png,لَآ أَعۡبُدُ مَا تَعۡبُدُونَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,٣,وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ,١٢,pages/book-p012.png,وَلَآ أَنتُمۡ عَٰبِدُونَ مَآ أَعۡبُدُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,٤,وَلَآ أَنَا۠ عَابِدٌ مَّا عَبَدتُّمْ,١٢,pages/book-p012.png,وَلَآ أَنَا۠ عَابِدٞ مَّا عَبَدتُّمۡ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,٥,وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ,١٢,pages/book-p012.png,وَلَآ أَنتُمۡ عَٰبِدُونَ مَآ أَعۡبُدُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٦,u1 / u1l6 / c1,سورة الكافرون,٦,لَكُمْ دِينُكُمْ وَلِىَ دِينِ,١٢,pages/book-p012.png,لَكُمۡ دِينُكُمۡ وَلِيَ دِينِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l6/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٧,u1 / u1l7 / c1,سورة الإخلاص,١,قُلْ هُوَ ٱللَّهُ أَحَدٌ,١٣,pages/book-p013.png,قُلۡ هُوَ ٱللَّهُ أَحَدٌ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ١,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤,u1/u1l7/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
